Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’478’717’994.38","8.37","2’478’717’994.38","11’536’433.00","214.86","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’149’023’717.06","7.26","2’149’023’717.06","6’969’882.00","308.33","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’466’641’791.81","4.95","1’466’641’791.81","3’525’327.00","416.03","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’352’030’853.54","4.57","1’352’030’853.54","5’096’426.00","265.29","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’321’547’527.32","4.46","1’321’547’527.32","1’475’139.00","895.88","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1’076’745’408.74","3.64","1’076’745’408.74","2’136’866.00","503.89","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1’074’862’764.48","3.63","1’074’862’764.48","2’763’996.00","388.88","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","1’027’410’149.37","3.47","1’027’410’149.37","2’369’543.00","433.59","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","993’534’500.88","3.35","993’534’500.88","2’581’682.00","384.84","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","949’905’263.07","3.21","949’905’263.07","2’250’907.00","422.01","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","857’400’305.02","2.90","857’400’305.02","1’400’203.00","612.34","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","808’640’355.20","2.73","808’640’355.20","6’546’635.00","123.52","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","759’491’597.96","2.56","759’491’597.96","6’405’428.00","118.57","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","612’582’695.33","2.07","612’582’695.33","5’176’901.00","118.33","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","583’473’583.17","1.97","583’473’583.17","581’769.00","1’002.93","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","528’127’129.20","1.78","528’127’129.20","1’636’690.00","322.68","United States","NASDAQ","USD"
"NFLX","NETFLIX INC","Communication","Equity","485’199’375.36","1.64","485’199’375.36","5’533’752.00","87.68","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","473’151’104.16","1.60","473’151’104.16","1’040’144.00","454.89","United States","NASDAQ","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","410’111’448.00","1.38","410’111’448.00","3’002’280.00","136.60","United States","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","386’191’869.65","1.30","386’191’869.65","1’188’685.00","324.89","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","348’704’807.88","1.18","348’704’807.88","1’401’434.00","248.82","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","345’106’250.64","1.17","345’106’250.64","171’576.00","2’011.39","United States","NASDAQ","USD"
"LIN","LINDE PLC","Materials","Equity","313’782’035.37","1.06","313’782’035.37","609’321.00","514.97","United States","NASDAQ","USD"
"SNDK","SANDISK CORP","Information Technology","Equity","307’663’760.70","1.04","307’663’760.70","193’554.00","1’589.55","United States","NASDAQ","USD"
"TMUS","T MOBILE US INC","Communication","Equity","275’472’833.96","0.93","275’472’833.96","1’441’436.00","191.11","United States","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","273’917’845.50","0.92","273’917’845.50","1’066’866.00","256.75","United States","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","268’198’460.46","0.91","268’198’460.46","638’659.00","419.94","United States","NASDAQ","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","260’413’488.96","0.88","260’413’488.96","1’787’572.00","145.68","United States","NASDAQ","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","242’496’307.20","0.82","242’496’307.20","286’720.00","845.76","United States","NASDAQ","USD"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","238’594’318.56","0.81","238’594’318.56","1’145’656.00","208.26","United States","NASDAQ","USD"
"AMGN","AMGEN INC","Health Care","Equity","238’004’419.62","0.80","238’004’419.62","708’473.00","335.94","United States","NASDAQ","USD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","232’401’062.60","0.78","232’401’062.60","442’964.00","524.65","United States","NASDAQ","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","221’085’004.80","0.75","221’085’004.80","329’216.00","671.55","United States","NASDAQ","USD"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","216’890’267.96","0.73","216’890’267.96","1’621’852.00","133.73","United States","NASDAQ","USD"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","207’625’428.48","0.70","207’625’428.48","403’752.00","514.24","United States","NASDAQ","USD"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","203’953’670.72","0.69","203’953’670.72","467’098.00","436.64","United States","NASDAQ","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","192’177’213.72","0.65","192’177’213.72","829’351.00","231.72","United States","NASDAQ","USD"
"ASML","ASML HOLDING ADR REPRESENTING NV","Information Technology","Equity","188’026’176.30","0.63","188’026’176.30","115’210.00","1’632.03","Netherlands","NASDAQ","USD"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","170’051’801.80","0.57","170’051’801.80","1’041’346.00","163.30","United States","NASDAQ","USD"
