Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"6857","ADVANTEST CORP","Information Technology","Equity","13’128’708’320.00","10.15","13’128’708’320.00","489’056.00","26’845.00","Japan","Tokyo Stock Exchange","JPY"
"9983","FAST RETAILING LTD","Consumer Discretionary","Equity","12’306’544’290.00","9.51","12’306’544’290.00","162’979.00","75’510.00","Japan","Tokyo Stock Exchange","JPY"
"9984","SOFTBANK GROUP CORP","Communication","Equity","11’008’261’148.00","8.51","11’008’261’148.00","1’629’164.00","6’757.00","Japan","Tokyo Stock Exchange","JPY"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","10’154’307’570.00","7.85","10’154’307’570.00","203’779.00","49’830.00","Japan","Tokyo Stock Exchange","JPY"
"6762","TDK CORP","Information Technology","Equity","3’431’317’150.00","2.65","3’431’317’150.00","1’018’195.00","3’370.00","Japan","Tokyo Stock Exchange","JPY"
"6954","FANUC CORP","Industrials","Equity","2’769’882’510.00","2.14","2’769’882’510.00","338’865.00","8’174.00","Japan","Tokyo Stock Exchange","JPY"
"285A","KIOXIA HOLDINGS CORP","Information Technology","Equity","2’720’760’000.00","2.10","2’720’760’000.00","47’400.00","57’400.00","Japan","Tokyo Stock Exchange","JPY"
"4062","IBIDEN LTD","Information Technology","Equity","2’614’150’000.00","2.02","2’614’150’000.00","135’800.00","19’250.00","Japan","Tokyo Stock Exchange","JPY"
"4063","SHIN ETSU CHEMICAL LTD","Materials","Equity","2’383’576’410.00","1.84","2’383’576’410.00","338’865.00","7’034.00","Japan","Tokyo Stock Exchange","JPY"
"9433","KDDI CORP","Communication","Equity","2’199’030’200.00","1.70","2’199’030’200.00","811’600.00","2’709.50","Japan","Tokyo Stock Exchange","JPY"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","1’990’103’700.00","1.54","1’990’103’700.00","203’300.00","9’789.00","Japan","Tokyo Stock Exchange","JPY"
"5803","FUJIKURA LTD","Industrials","Equity","1’974’231’300.00","1.53","1’974’231’300.00","407’058.00","4’850.00","Japan","Tokyo Stock Exchange","JPY"
"4519","CHUGAI PHARMACEUTICAL LTD","Health Care","Equity","1’638’864’110.00","1.27","1’638’864’110.00","202’579.00","8’090.00","Japan","Tokyo Stock Exchange","JPY"
"6367","DAIKIN INDUSTRIES LTD","Industrials","Equity","1’629’032’045.00","1.26","1’629’032’045.00","67’693.00","24’065.00","Japan","Tokyo Stock Exchange","JPY"
"6971","KYOCERA CORP","Information Technology","Equity","1’623’606’768.00","1.26","1’623’606’768.00","541’744.00","2’997.00","Japan","Tokyo Stock Exchange","JPY"
"8015","TOYOTA TSUSHO CORP","Industrials","Equity","1’419’759’946.00","1.10","1’419’759’946.00","203’579.00","6’974.00","Japan","Tokyo Stock Exchange","JPY"
"9766","KONAMI GROUP CORP","Communication","Equity","1’328’813’590.00","1.03","1’328’813’590.00","67’693.00","19’630.00","Japan","Tokyo Stock Exchange","JPY"
"4543","TERUMO CORP","Health Care","Equity","1’298’952’450.00","1.00","1’298’952’450.00","542’700.00","2’393.50","Japan","Tokyo Stock Exchange","JPY"
"6758","SONY GROUP CORP","Consumer Discretionary","Equity","1’192’384’125.00","0.92","1’192’384’125.00","338’265.00","3’525.00","Japan","Tokyo Stock Exchange","JPY"
"6981","MURATA MANUFACTURING LTD","Information Technology","Equity","1’159’338’000.00","0.90","1’159’338’000.00","162’600.00","7’130.00","Japan","Tokyo Stock Exchange","JPY"
"8058","MITSUBISHI CORP","Industrials","Equity","1’107’470’728.00","0.86","1’107’470’728.00","203’879.00","5’432.00","Japan","Tokyo Stock Exchange","JPY"
"6988","NITTO DENKO CORP","Materials","Equity","1’044’332’100.00","0.81","1’044’332’100.00","338’300.00","3’087.00","Japan","Tokyo Stock Exchange","JPY"
"6920","LASERTEC CORP","Information Technology","Equity","1’033’323’000.00","0.80","1’033’323’000.00","27’100.00","38’130.00","Japan","Tokyo Stock Exchange","JPY"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","1’013’085’855.00","0.78","1’013’085’855.00","339’165.00","2’987.00","Japan","Tokyo Stock Exchange","JPY"
"JPY","JPY CASH","Cash and/or Derivatives","Cash","895’778’989.70","0.69","895’778’989.70","895’778’990.00","100.00","Japan","-","JPY"
"6146","DISCO CORP","Information Technology","Equity","895’696’000.00","0.69","895’696’000.00","13’600.00","65’860.00","Japan","Tokyo Stock Exchange","JPY"
"7741","HOYA CORP","Health Care","Equity","891’650’000.00","0.69","891’650’000.00","34’000.00","26’225.00","Japan","Tokyo Stock Exchange","JPY"
"9735","SECOM LTD","Industrials","Equity","861’149’016.00","0.67","861’149’016.00","135’486.00","6’356.00","Japan","Tokyo Stock Exchange","JPY"
"5802","SUMITOMO ELECTRIC INDUSTRIES LTD","Consumer Discretionary","Equity","793’039’260.00","0.61","793’039’260.00","67’093.00","11’820.00","Japan","Tokyo Stock Exchange","JPY"
"4578","OTSUKA HOLDINGS LTD","Health Care","Equity","788’705’000.00","0.61","788’705’000.00","67’700.00","11’650.00","Japan","Tokyo Stock Exchange","JPY"
"4503","ASTELLAS PHARMA INC","Health Care","Equity","770’268’300.00","0.60","770’268’300.00","339’400.00","2’269.50","Japan","Tokyo Stock Exchange","JPY"
"8031","MITSUI LTD","Industrials","Equity","756’011’880.00","0.58","756’011’880.00","135’486.00","5’580.00","Japan","Tokyo Stock Exchange","JPY"
"8766","TOKIO MARINE HOLDINGS INC","Financials","Equity","755’401’064.00","0.58","755’401’064.00","102’344.00","7’381.00","Japan","Tokyo Stock Exchange","JPY"
"7832","BANDAI NAMCO HOLDINGS INC","Consumer Discretionary","Equity","754’134’400.00","0.58","754’134’400.00","203’600.00","3’704.00","Japan","Tokyo Stock Exchange","JPY"
"2802","AJINOMOTO INC","Consumer Staples","Equity","711’185’800.00","0.55","711’185’800.00","134’186.00","5’300.00","Japan","Tokyo Stock Exchange","JPY"
"8001","ITOCHU CORP","Industrials","Equity","662’761’767.50","0.51","662’761’767.50","339’965.00","1’949.50","Japan","Tokyo Stock Exchange","JPY"
"4901","FUJIFILM HOLDINGS CORP","Information Technology","Equity","650’765’799.00","0.50","650’765’799.00","204’579.00","3’181.00","Japan","Tokyo Stock Exchange","JPY"
"6976","TAIYO YUDEN LTD","Information Technology","Equity","622’513’086.00","0.48","622’513’086.00","68’393.00","9’102.00","Japan","Tokyo Stock Exchange","JPY"
"4507","SHIONOGI LTD","Health Care","Equity","604’859’650.50","0.47","604’859’650.50","204’379.00","2’959.50","Japan","Tokyo Stock Exchange","JPY"
"7735","SCREEN HOLDINGS LTD","Information Technology","Equity","585’314’580.00","0.45","585’314’580.00","54’372.00","10’765.00","Japan","Tokyo Stock Exchange","JPY"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","574’924’167.00","0.44","574’924’167.00","410’367.00","1’401.00","Japan","Tokyo Stock Exchange","JPY"
"6861","KEYENCE CORP","Information Technology","Equity","547’653’000.00","0.42","547’653’000.00","6’900.00","79’370.00","Japan","Tokyo Stock Exchange","JPY"
"4568","DAIICHI SANKYO LTD","Health Care","Equity","534’083’560.50","0.41","534’083’560.50","201’579.00","2’649.50","Japan","Tokyo Stock Exchange","JPY"
"7733","OLYMPUS CORP","Health Care","Equity","518’203’136.00","0.40","518’203’136.00","274’472.00","1’888.00","Japan","Tokyo Stock Exchange","JPY"
"8830","SUMITOMO REALTY & DEVELOPMENT LTD","Real Estate","Equity","507’601’326.00","0.39","507’601’326.00","135’686.00","3’741.00","Japan","Tokyo Stock Exchange","JPY"
"6902","DENSO CORP","Consumer Discretionary","Equity","494’896’734.00","0.38","494’896’734.00","269’772.00","1’834.50","Japan","Tokyo Stock Exchange","JPY"
"4021","NISSAN CHEMICAL CORP","Materials","Equity","492’609’285.00","0.38","492’609’285.00","67’993.00","7’245.00","Japan","Tokyo Stock Exchange","JPY"
"7453","RYOHIN KEIKAKU LTD","Consumer Discretionary","Equity","490’691’200.00","0.38","490’691’200.00","135’700.00","3’616.00","Japan","Tokyo Stock Exchange","JPY"
"7269","SUZUKI MOTOR CORP","Consumer Discretionary","Equity","487’946’544.00","0.38","487’946’544.00","272’672.00","1’789.50","Japan","Tokyo Stock Exchange","JPY"
"2801","KIKKOMAN CORP","Consumer Staples","Equity","487’043’457.50","0.38","487’043’457.50","341’665.00","1’425.50","Japan","Tokyo Stock Exchange","JPY"
"7974","NINTENDO LTD","Communication","Equity","486’528’000.00","0.38","486’528’000.00","67’200.00","7’240.00","Japan","Tokyo Stock Exchange","JPY"
"8053","SUMITOMO CORP","Industrials","Equity","479’153’283.00","0.37","479’153’283.00","67’193.00","7’131.00","Japan","Tokyo Stock Exchange","JPY"
"6506","YASKAWA ELECTRIC CORP","Industrials","Equity","478’781’436.00","0.37","478’781’436.00","67’893.00","7’052.00","Japan","Tokyo Stock Exchange","JPY"
"6273","SMC (JAPAN) CORP","Industrials","Equity","450’636’000.00","0.35","450’636’000.00","6’800.00","66’270.00","Japan","Tokyo Stock Exchange","JPY"
"5108","BRIDGESTONE CORP","Consumer Discretionary","Equity","449’527’718.00","0.35","449’527’718.00","135’686.00","3’313.00","Japan","Tokyo Stock Exchange","JPY"
"9843","NITORI HOLDINGS LTD","Consumer Discretionary","Equity","436’303’200.00","0.34","436’303’200.00","169’900.00","2’568.00","Japan","Tokyo Stock Exchange","JPY"
"7751","CANON INC","Information Technology","Equity","430’126’614.00","0.33","430’126’614.00","102’338.00","4’203.00","Japan","Tokyo Stock Exchange","JPY"
"6503","MITSUBISHI ELECTRIC CORP","Industrials","Equity","427’793’793.00","0.33","427’793’793.00","67’893.00","6’301.00","Japan","Tokyo Stock Exchange","JPY"
"4704","TREND MICRO INC","Information Technology","Equity","422’942’312.00","0.33","422’942’312.00","68’393.00","6’184.00","Japan","Tokyo Stock Exchange","JPY"
"6301","KOMATSU LTD","Industrials","Equity","414’650’348.00","0.32","414’650’348.00","66’493.00","6’236.00","Japan","Tokyo Stock Exchange","JPY"
"8591","ORIX CORP","Financials","Equity","413’049’000.00","0.32","413’049’000.00","66’300.00","6’230.00","Japan","Tokyo Stock Exchange","JPY"
"2914","JAPAN TOBACCO INC","Consumer Staples","Equity","408’481’462.00","0.32","408’481’462.00","66’593.00","6’134.00","Japan","Tokyo Stock Exchange","JPY"
"5333","NGK CORP","Industrials","Equity","400’265’273.00","0.31","400’265’273.00","68’293.00","5’861.00","Japan","Tokyo Stock Exchange","JPY"
"4452","KAO CORP","Consumer Staples","Equity","399’291’628.00","0.31","399’291’628.00","66’593.00","5’996.00","Japan","Tokyo Stock Exchange","JPY"
"6532","BAYCURRENT INC","Industrials","Equity","389’272’500.00","0.30","389’272’500.00","67’500.00","5’767.00","Japan","Tokyo Stock Exchange","JPY"
"3382","SEVEN & I HOLDINGS LTD","Consumer Staples","Equity","380’619’229.50","0.29","380’619’229.50","204’579.00","1’860.50","Japan","Tokyo Stock Exchange","JPY"
"6645","OMRON CORP","Information Technology","Equity","371’544’000.00","0.29","371’544’000.00","67’800.00","5’480.00","Japan","Tokyo Stock Exchange","JPY"
"6361","EBARA CORP","Industrials","Equity","367’955’480.00","0.28","367’955’480.00","67’490.00","5’452.00","Japan","Tokyo Stock Exchange","JPY"
"5801","FURUKAWA ELECTRIC LTD","Industrials","Equity","359’937’850.00","0.28","359’937’850.00","6’709.00","53’650.00","Japan","Tokyo Stock Exchange","JPY"
"1721","COMSYS HOLDINGS CORP","Industrials","Equity","351’078’296.00","0.27","351’078’296.00","66’593.00","5’272.00","Japan","Tokyo Stock Exchange","JPY"
"6724","SEIKO EPSON CORP","Information Technology","Equity","350’588’700.00","0.27","350’588’700.00","138’600.00","2’529.50","Japan","Tokyo Stock Exchange","JPY"
"8002","MARUBENI CORP","Industrials","Equity","350’484’603.00","0.27","350’484’603.00","66’493.00","5’271.00","Japan","Tokyo Stock Exchange","JPY"
"6305","HITACHI CONSTRUCTION MACHINERY LTD","Industrials","Equity","345’217’726.00","0.27","345’217’726.00","69’293.00","4’982.00","Japan","Tokyo Stock Exchange","JPY"
"4502","TAKEDA PHARMACEUTICAL LTD","Health Care","Equity","343’289’037.00","0.27","343’289’037.00","67’193.00","5’109.00","Japan","Tokyo Stock Exchange","JPY"
"6501","HITACHI LTD","Industrials","Equity","338’585’380.00","0.26","338’585’380.00","67’690.00","5’002.00","Japan","Tokyo Stock Exchange","JPY"
"5706","MITSUI KINZOKU LIMITED LTD","Materials","Equity","332’833’490.00","0.26","332’833’490.00","6’709.00","49’610.00","Japan","Tokyo Stock Exchange","JPY"
"2502","ASAHI GROUP HOLDINGS LTD","Consumer Staples","Equity","321’422’766.50","0.25","321’422’766.50","205’579.00","1’563.50","Japan","Tokyo Stock Exchange","JPY"
"6841","YOKOGAWA ELECTRIC CORP","Information Technology","Equity","320’678’190.00","0.25","320’678’190.00","66’393.00","4’830.00","Japan","Tokyo Stock Exchange","JPY"
"4307","NOMURA RESEARCH INSTITUTE LTD","Information Technology","Equity","318’926’300.00","0.25","318’926’300.00","67’900.00","4’697.00","Japan","Tokyo Stock Exchange","JPY"
"6963","ROHM LTD","Information Technology","Equity","317’055’000.00","0.25","317’055’000.00","69’000.00","4’595.00","Japan","Tokyo Stock Exchange","JPY"
"5713","SUMITOMO METAL MINING LTD","Materials","Equity","314’069’184.00","0.24","314’069’184.00","33’046.00","9’504.00","Japan","Tokyo Stock Exchange","JPY"
"3659","NEXON LTD","Communication","Equity","308’900’700.00","0.24","308’900’700.00","135’900.00","2’273.00","Japan","Tokyo Stock Exchange","JPY"
"8267","AEON LTD","Consumer Staples","Equity","304’803’859.50","0.24","304’803’859.50","205’879.00","1’480.50","Japan","Tokyo Stock Exchange","JPY"
"8801","MITSUI FUDOSAN LTD","Real Estate","Equity","304’256’920.00","0.24","304’256’920.00","205’579.00","1’480.00","Japan","Tokyo Stock Exchange","JPY"
"1925","DAIWA HOUSE INDUSTRY LTD","Real Estate","Equity","294’074’688.00","0.23","294’074’688.00","66’593.00","4’416.00","Japan","Tokyo Stock Exchange","JPY"
"4385","MERCARI INC","Consumer Discretionary","Equity","288’608’700.00","0.22","288’608’700.00","68’700.00","4’201.00","Japan","Tokyo Stock Exchange","JPY"
"8253","CREDIT SAISON LTD","Financials","Equity","280’281’670.00","0.22","280’281’670.00","66’893.00","4’190.00","Japan","Tokyo Stock Exchange","JPY"
"4523","EISAI LTD","Health Care","Equity","276’411’401.00","0.21","276’411’401.00","66’493.00","4’157.00","Japan","Tokyo Stock Exchange","JPY"
"8802","MITSUBISHI ESTATE CO LTD","Real Estate","Equity","275’103’994.00","0.21","275’103’994.00","67’793.00","4’058.00","Japan","Tokyo Stock Exchange","JPY"
"8697","JAPAN EXCHANGE GROUP INC","Financials","Equity","274’893’400.00","0.21","274’893’400.00","138’800.00","1’980.50","Japan","Tokyo Stock Exchange","JPY"
"6723","RENESAS ELECTRONICS CORP","Information Technology","Equity","274’587’600.00","0.21","274’587’600.00","67’900.00","4’044.00","Japan","Tokyo Stock Exchange","JPY"
"6479","MINEBEA MITSUMI INC","Industrials","Equity","270’230’456.00","0.21","270’230’456.00","67’693.00","3’992.00","Japan","Tokyo Stock Exchange","JPY"
"8725","MS&AD INSURANCE GROUP HOLDINGS INC","Financials","Equity","264’832’815.00","0.20","264’832’815.00","62’387.00","4’245.00","Japan","Tokyo Stock Exchange","JPY"
"7011","MITSUBISHI HEAVY INDUSTRIES LTD","Industrials","Equity","261’914’310.00","0.20","261’914’310.00","65’990.00","3’969.00","Japan","Tokyo Stock Exchange","JPY"
"7272","YAMAHA MOTOR LTD","Consumer Discretionary","Equity","256’615’200.00","0.20","256’615’200.00","208’800.00","1’229.00","Japan","Tokyo Stock Exchange","JPY"
"6752","PANASONIC HOLDINGS CORP","Consumer Discretionary","Equity","240’906’351.00","0.19","240’906’351.00","68’693.00","3’507.00","Japan","Tokyo Stock Exchange","JPY"
"2413","M3 INC","Health Care","Equity","234’312’750.00","0.18","234’312’750.00","165’300.00","1’417.50","Japan","Tokyo Stock Exchange","JPY"
"7951","YAMAHA CORP","Consumer Discretionary","Equity","231’426’717.00","0.18","231’426’717.00","206’079.00","1’123.00","Japan","Tokyo Stock Exchange","JPY"
"1928","SEKISUI HOUSE LTD","Consumer Discretionary","Equity","230’160’648.00","0.18","230’160’648.00","68’993.00","3’336.00","Japan","Tokyo Stock Exchange","JPY"
"6504","FUJI ELECTRIC LTD","Industrials","Equity","229’841’040.00","0.18","229’841’040.00","14’118.00","16’280.00","Japan","Tokyo Stock Exchange","JPY"
"6702","FUJITSU LTD","Information Technology","Equity","229’439’660.00","0.18","229’439’660.00","69’380.00","3’307.00","Japan","Tokyo Stock Exchange","JPY"
"3099","ISETAN MITSUKOSHI HOLDINGS LTD","Consumer Discretionary","Equity","228’090’858.00","0.18","228’090’858.00","68’993.00","3’306.00","Japan","Tokyo Stock Exchange","JPY"
"8630","SOMPO HOLDINGS INC","Financials","Equity","226’864’044.00","0.18","226’864’044.00","39’969.00","5’676.00","Japan","Tokyo Stock Exchange","JPY"
"5332","TOTO LTD","Industrials","Equity","223’014’000.00","0.17","223’014’000.00","32’700.00","6’820.00","Japan","Tokyo Stock Exchange","JPY"
"5101","YOKOHAMA RUBBER LTD","Consumer Discretionary","Equity","218’822’000.00","0.17","218’822’000.00","33’500.00","6’532.00","Japan","Tokyo Stock Exchange","JPY"
"1802","OBAYASHI CORP","Industrials","Equity","212’698’042.00","0.16","212’698’042.00","66’593.00","3’194.00","Japan","Tokyo Stock Exchange","JPY"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","212’639’163.00","0.16","212’639’163.00","68’793.00","3’091.00","Japan","Tokyo Stock Exchange","JPY"
"3092","ZOZO INC","Consumer Discretionary","Equity","211’845’800.00","0.16","211’845’800.00","208’100.00","1’018.00","Japan","Tokyo Stock Exchange","JPY"
"4324","DENTSU GROUP INC","Communication","Equity","210’664’557.00","0.16","210’664’557.00","69’093.00","3’049.00","Japan","Tokyo Stock Exchange","JPY"
"2282","NH FOODS LTD","Consumer Staples","Equity","203’490’036.00","0.16","203’490’036.00","33’546.00","6’066.00","Japan","Tokyo Stock Exchange","JPY"
"5831","SHIZUOKA FINANCIAL GROUP INC","Financials","Equity","199’600’200.00","0.15","199’600’200.00","66’600.00","2’997.00","Japan","Tokyo Stock Exchange","JPY"
"1963","JGC HOLDINGS CORP","Industrials","Equity","193’097’929.50","0.15","193’097’929.50","70’693.00","2’731.50","Japan","Tokyo Stock Exchange","JPY"
"6526","SOCIONEXT INC","Information Technology","Equity","190’917’350.00","0.15","190’917’350.00","70’100.00","2’723.50","Japan","Tokyo Stock Exchange","JPY"
"6113","AMADA LTD","Industrials","Equity","188’727’529.50","0.15","188’727’529.50","69’093.00","2’731.50","Japan","Tokyo Stock Exchange","JPY"
"2503","KIRIN HOLDINGS LTD","Consumer Staples","Equity","187’967’506.50","0.15","187’967’506.50","69’093.00","2’720.50","Japan","Tokyo Stock Exchange","JPY"
"8252","MARUI GROUP LTD","Financials","Equity","187’971’428.50","0.15","187’971’428.50","68’993.00","2’724.50","Japan","Tokyo Stock Exchange","JPY"
"6326","KUBOTA CORP","Industrials","Equity","187’901’100.00","0.15","187’901’100.00","69’593.00","2’700.00","Japan","Tokyo Stock Exchange","JPY"
"4911","SHISEIDO LTD","Consumer Staples","Equity","185’307’426.00","0.14","185’307’426.00","69’093.00","2’682.00","Japan","Tokyo Stock Exchange","JPY"
"7912","DAI NIPPON PRINTING LTD","Industrials","Equity","184’265’648.00","0.14","184’265’648.00","69’692.00","2’644.00","Japan","Tokyo Stock Exchange","JPY"
"1801","TAISEI CORP","Industrials","Equity","182’140’750.00","0.14","182’140’750.00","13’618.00","13’375.00","Japan","Tokyo Stock Exchange","JPY"
"5019","IDEMITSU KOSAN LTD","Energy","Equity","181’851’300.00","0.14","181’851’300.00","136’525.00","1’332.00","Japan","Tokyo Stock Exchange","JPY"
"1812","KAJIMA CORP","Industrials","Equity","181’822’374.00","0.14","181’822’374.00","33’246.00","5’469.00","Japan","Tokyo Stock Exchange","JPY"
"9201","JAPAN AIRLINES LTD","Industrials","Equity","176’988’000.00","0.14","176’988’000.00","68’600.00","2’580.00","Japan","Tokyo Stock Exchange","JPY"
"1803","SHIMIZU CORP","Industrials","Equity","174’520’164.00","0.13","174’520’164.00","68’493.00","2’548.00","Japan","Tokyo Stock Exchange","JPY"
"7270","SUBARU CORP","Consumer Discretionary","Equity","169’388’313.00","0.13","169’388’313.00","69’393.00","2’441.00","Japan","Tokyo Stock Exchange","JPY"
"4151","KYOWA KIRIN LTD","Health Care","Equity","166’161’538.50","0.13","166’161’538.50","69’393.00","2’394.50","Japan","Tokyo Stock Exchange","JPY"
"8331","CHIBA BANK LTD","Financials","Equity","165’051’250.50","0.13","165’051’250.50","69’393.00","2’378.50","Japan","Tokyo Stock Exchange","JPY"
"9434","SOFTBANK CORP","Communication","Equity","155’252’600.00","0.12","155’252’600.00","696’200.00","223.00","Japan","Tokyo Stock Exchange","JPY"
"9107","KAWASAKI KISEN LTD","Industrials","Equity","154’629’891.00","0.12","154’629’891.00","61’581.00","2’511.00","Japan","Tokyo Stock Exchange","JPY"
"4661","ORIENTAL LAND LTD","Consumer Discretionary","Equity","148’088’000.00","0.11","148’088’000.00","69’200.00","2’140.00","Japan","Tokyo Stock Exchange","JPY"
"6178","JAPAN POST HOLDINGS LTD","Financials","Equity","147’696’800.00","0.11","147’696’800.00","69’800.00","2’116.00","Japan","Tokyo Stock Exchange","JPY"
