Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ASML","ASML HOLDING NV","Information Technology","Equity","420’303’316.00","4.11","420’303’316.00","302’420.00","1’389.80","Netherlands","Euronext Amsterdam","EUR"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","214’461’723.42","2.10","214’461’723.42","13’372’802.00","16.04","United Kingdom","London Stock Exchange","GBP"
"ROP","ROCHE PS PAR AG","Health Care","Equity","198’486’099.97","1.94","198’486’099.97","547’183.00","362.74","Switzerland","SIX Swiss Exchange","CHF"
"AZN","ASTRAZENECA PLC","Health Care","Equity","195’308’329.77","1.91","195’308’329.77","1’209’125.00","161.53","United Kingdom","London Stock Exchange","GBP"
"NOVN","NOVARTIS AG","Health Care","Equity","192’367’408.99","1.88","192’367’408.99","1’482’948.00","129.72","Switzerland","SIX Swiss Exchange","CHF"
"NESN","NESTLE SA","Consumer Staples","Equity","174’716’682.20","1.71","174’716’682.20","2’009’630.00","86.94","Switzerland","SIX Swiss Exchange","CHF"
"SHELL","SHELL PLC","Energy","Equity","163’563’079.76","1.60","163’563’079.76","4’427’804.00","36.94","United Kingdom","Euronext Amsterdam","EUR"
"SIE","SIEMENS N AG","Industrials","Equity","159’536’324.85","1.56","159’536’324.85","585’347.00","272.55","Germany","Xetra","EUR"
"TTE","TOTALENERGIES","Energy","Equity","133’363’848.48","1.31","133’363’848.48","1’704’984.00","78.22","France","Nyse Euronext - Euronext Paris","EUR"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","122’858’040.00","1.20","122’858’040.00","449’700.00","273.20","France","Nyse Euronext - Euronext Paris","EUR"
"SAN","BANCO SANTANDER","Financials","Equity","122’535’581.20","1.20","122’535’581.20","11’475’518.00","10.68","Spain","Bolsa De Madrid","EUR"
"SAP","SAP","Information Technology","Equity","120’488’247.52","1.18","120’488’247.52","795’512.00","151.46","Germany","Xetra","EUR"
"ALV","ALLIANZ","Financials","Equity","115’063’843.00","1.13","115’063’843.00","295’870.00","388.90","Germany","Xetra","EUR"
"ABBN","ABB LTD","Industrials","Equity","114’454’071.64","1.12","114’454’071.64","1’230’592.00","93.01","Switzerland","SIX Swiss Exchange","CHF"
"ENR","SIEMENS ENERGY N AG","Industrials","Equity","109’347’106.40","1.07","109’347’106.40","603’128.00","181.30","Germany","Xetra","EUR"
"UBSG","UBS GROUP AG","Financials","Equity","98’524’767.94","0.96","98’524’767.94","2’404’000.00","40.98","Switzerland","SIX Swiss Exchange","CHF"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","96’608’153.94","0.95","96’608’153.94","2’511’813.00","38.46","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"IBE","IBERDROLA SA","Utilities","Equity","96’372’488.77","0.94","96’372’488.77","4’839’191.00","19.91","Spain","Bolsa De Madrid","EUR"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","95’887’456.11","0.94","95’887’456.11","6’570’731.00","14.59","United Kingdom","London Stock Exchange","GBP"
"BATS","BRITISH AMERICAN TOBACCO","Consumer Staples","Equity","94’359’330.08","0.92","94’359’330.08","1’691’896.00","55.77","United Kingdom","London Stock Exchange","GBP"
"MC","LVMH","Consumer Discretionary","Equity","91’219’048.80","0.89","91’219’048.80","194’414.00","469.20","France","Nyse Euronext - Euronext Paris","EUR"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","89’013’276.64","0.87","89’013’276.64","4’464’056.00","19.94","Spain","Bolsa De Madrid","EUR"
"UCG","UNICREDIT","Financials","Equity","86’196’641.72","0.84","86’196’641.72","1’173’382.00","73.46","Italy","Borsa Italiana","EUR"
"SAF","SAFRAN SA","Industrials","Equity","84’754’785.70","0.83","84’754’785.70","287’207.00","295.10","France","Nyse Euronext - Euronext Paris","EUR"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","83’490’532.17","0.82","83’490’532.17","1’703’603.00","49.01","United Kingdom","London Stock Exchange","GBP"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","81’938’043.68","0.80","81’938’043.68","450’308.00","181.96","France","Nyse Euronext - Euronext Paris","EUR"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","79’847’207.65","0.78","79’847’207.65","2’748’613.00","29.05","Germany","Xetra","EUR"
"AIR","AIRBUS GROUP","Industrials","Equity","79’140’608.16","0.77","79’140’608.16","459’372.00","172.28","France","Nyse Euronext - Euronext Paris","EUR"
"IFX","INFINEON TECHNOLOGIES AG","Information Technology","Equity","78’907’590.30","0.77","78’907’590.30","1’017’506.00","77.55","Germany","Xetra","EUR"
"BP.","BP PLC","Energy","Equity","78’596’941.03","0.77","78’596’941.03","12’840’615.00","6.12","United Kingdom","London Stock Exchange","GBP"
"RIO","RIO TINTO PLC","Materials","Equity","76’877’412.09","0.75","76’877’412.09","838’052.00","91.73","United Kingdom","London Stock Exchange","GBP"
