Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","1’505’745’826.20","9.38","1’505’745’826.20","108’639’670.00","13.86","United Kingdom","London Stock Exchange","GBP"
"AZN","ASTRAZENECA PLC","Health Care","Equity","1’323’869’378.00","8.25","1’323’869’378.00","9’483’305.00","139.60","United Kingdom","London Stock Exchange","GBP"
"SHEL","SHELL PLC","Energy","Equity","1’150’253’358.22","7.16","1’150’253’358.22","36’007’305.00","31.95","United Kingdom","London Stock Exchange","GBP"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","676’739’841.70","4.22","676’739’841.70","53’658’408.00","12.61","United Kingdom","London Stock Exchange","GBP"
"BATS","BRITISH AMERICAN TOBACCO","Consumer Staples","Equity","641’896’125.40","4.00","641’896’125.40","13’317’347.00","48.20","United Kingdom","London Stock Exchange","GBP"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","574’735’240.69","3.58","574’735’240.69","13’569’478.00","42.35","United Kingdom","London Stock Exchange","GBP"
"BP.","BP PLC","Energy","Equity","524’815’922.11","3.27","524’815’922.11","99’209’059.00","5.29","United Kingdom","London Stock Exchange","GBP"
"RIO","RIO TINTO PLC","Materials","Equity","518’533’852.64","3.23","518’533’852.64","6’540’538.00","79.28","United Kingdom","London Stock Exchange","GBP"
"GSK","GLAXOSMITHKLINE","Health Care","Equity","486’647’969.50","3.03","486’647’969.50","25’280’414.00","19.25","United Kingdom","London Stock Exchange","GBP"
"NG.","NATIONAL GRID PLC","Utilities","Equity","405’373’968.00","2.53","405’373’968.00","31’327’200.00","12.94","United Kingdom","London Stock Exchange","GBP"
"BARC","BARCLAYS PLC","Financials","Equity","399’291’931.42","2.49","399’291’931.42","88’037’026.00","4.54","United Kingdom","London Stock Exchange","GBP"
"GLEN","GLENCORE PLC","Materials","Equity","389’282’637.97","2.42","389’282’637.97","66’487’214.00","5.86","United Kingdom","London Stock Exchange","GBP"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Equity","380’005’184.16","2.37","380’005’184.16","374’389’344.00","1.01","United Kingdom","London Stock Exchange","GBP"
"BA.","BAE SYSTEMS PLC","Industrials","Equity","378’538’118.40","2.36","378’538’118.40","19’022’016.00","19.90","United Kingdom","London Stock Exchange","GBP"
"NWG","NATWEST GROUP PLC","Financials","Equity","301’578’939.98","1.88","301’578’939.98","50’566’556.00","5.96","United Kingdom","London Stock Exchange","GBP"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Financials","Equity","281’789’913.20","1.76","281’789’913.20","3’070’945.00","91.76","United Kingdom","London Stock Exchange","GBP"
"REL","RELX PLC","Industrials","Equity","280’002’072.63","1.74","280’002’072.63","11’508’511.00","24.33","United Kingdom","London Stock Exchange","GBP"
"AAL","ANGLO AMERICAN PLC","Materials","Equity","263’362’046.80","1.64","263’362’046.80","6’733’880.00","39.11","United Kingdom","London Stock Exchange","GBP"
"CPG","COMPASS GROUP PLC","Consumer Discretionary","Equity","243’714’830.96","1.52","243’714’830.96","10’733’747.00","22.71","United Kingdom","London Stock Exchange","USD"
"STAN","STANDARD CHARTERED PLC","Financials","Equity","226’041’606.93","1.41","226’041’606.93","11’424’898.00","19.79","United Kingdom","London Stock Exchange","GBP"
"DGE","DIAGEO PLC","Consumer Staples","Equity","221’972’004.02","1.38","221’972’004.02","14’080’051.00","15.77","United Kingdom","London Stock Exchange","GBP"
"RKT","RECKITT BENCKISER GROUP PLC","Consumer Staples","Equity","192’594’009.52","1.20","192’594’009.52","4’140’026.00","46.52","United Kingdom","London Stock Exchange","GBP"
"HLN","HALEON PLC","Health Care","Equity","192’565’300.93","1.20","192’565’300.93","56’322’112.00","3.42","United Kingdom","London Stock Exchange","GBP"
"SSE","SSE PLC","Utilities","Equity","187’453’725.71","1.17","187’453’725.71","7’623’169.00","24.59","United Kingdom","London Stock Exchange","GBP"
"PRU","PRUDENTIAL PLC","Financials","Equity","180’828’772.64","1.13","180’828’772.64","16’066’528.00","11.26","United Kingdom","London Stock Exchange","GBP"
"TSCO","TESCO PLC","Consumer Staples","Equity","179’093’128.37","1.12","179’093’128.37","39’421’776.00","4.54","United Kingdom","London Stock Exchange","GBP"
"EXPN","EXPERIAN PLC","Industrials","Equity","149’725’114.20","0.93","149’725’114.20","5’803’299.00","25.80","United Kingdom","London Stock Exchange","GBP"
"III","3I GROUP PLC","Financials","Equity","145’285’950.65","0.90","145’285’950.65","6’275’851.00","23.15","United Kingdom","London Stock Exchange","GBP"
"IMB","IMPERIAL BRANDS PLC","Consumer Staples","Equity","131’390’375.69","0.82","131’390’375.69","4’711’021.00","27.89","United Kingdom","London Stock Exchange","GBP"
"VOD","VODAFONE GROUP PLC","Communication","Equity","127’348’504.92","0.79","127’348’504.92","115’666’217.00","1.10","United Kingdom","London Stock Exchange","GBP"
"AV.","AVIVA PLC","Financials","Equity","120’723’191.68","0.75","120’723’191.68","19’217’318.00","6.28","United Kingdom","London Stock Exchange","GBP"
"HLMA","HALMA PLC","Information Technology","Equity","108’871’515.34","0.68","108’871’515.34","2’363’689.00","46.06","United Kingdom","London Stock Exchange","GBP"
"SMT","SCOTTISH MORTGAGE INVESTMENT TRUST","Financials","Equity","104’321’491.20","0.65","104’321’491.20","6’863’256.00","15.20","United Kingdom","-","GBP"
"IHG","INTERCONTINENTAL HOTELS GROUP PLC","Consumer Discretionary","Equity","102’664’061.04","0.64","102’664’061.04","905’794.00","113.34","United Kingdom","London Stock Exchange","USD"
"LGEN","LEGAL AND GENERAL GROUP PLC","Financials","Equity","96’285’264.64","0.60","96’285’264.64","35’477’253.00","2.71","United Kingdom","London Stock Exchange","GBP"
"NXT","NEXT PLC","Consumer Discretionary","Equity","95’361’284.55","0.59","95’361’284.55","727’671.00","131.05","United Kingdom","London Stock Exchange","GBP"
"CCEP","COCA COLA EUROPACIFIC PARTNERS PLC","Consumer Staples","Equity","91’788’936.00","0.57","91’788’936.00","1’325’472.00","69.25","Netherlands","London Stock Exchange","GBP"
"IAG","INTERNATIONAL AIRLINES GROUP SA","Industrials","Equity","88’500’087.80","0.55","88’500’087.80","21’464’974.00","4.12","Spain","London Stock Exchange","GBP"
"ANTO","ANTOFAGASTA PLC","Materials","Equity","87’890’863.25","0.55","87’890’863.25","2’156’831.00","40.75","United Kingdom","London Stock Exchange","GBP"
"BT.A","BT GROUP PLC","Communication","Equity","79’177’829.88","0.49","79’177’829.88","35’681’762.00","2.22","United Kingdom","London Stock Exchange","GBP"
"RTO","RENTOKIL INITIAL PLC","Industrials","Equity","74’031’413.10","0.46","74’031’413.10","15’920’734.00","4.65","United Kingdom","London Stock Exchange","GBP"
"INF","INFORMA PLC","Communication","Equity","66’393’064.16","0.41","66’393’064.16","8’152’390.00","8.14","United Kingdom","London Stock Exchange","GBP"
"UU.","UNITED UTILITIES GROUP PLC","Utilities","Equity","65’020’334.40","0.41","65’020’334.40","4’725’315.00","13.76","United Kingdom","London Stock Exchange","GBP"
"SGRO","SEGRO REIT PLC","Real Estate","Equity","61’440’151.89","0.38","61’440’151.89","8’564’281.00","7.17","United Kingdom","London Stock Exchange","GBP"
"SN.","SMITH AND NEPHEW PLC","Health Care","Equity","61’123’239.39","0.38","61’123’239.39","5’392’434.00","11.34","United Kingdom","London Stock Exchange","GBP"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","60’514’112.54","0.38","60’514’112.54","60’514’113.00","100.00","United Kingdom","-","GBP"
"DPLM","DIPLOMA PLC","Industrials","Equity","59’466’951.60","0.37","59’466’951.60","848’316.00","70.10","United Kingdom","London Stock Exchange","GBP"
"CNA","CENTRICA PLC","Utilities","Equity","57’047’194.20","0.36","57’047’194.20","28’495’102.00","2.00","United Kingdom","London Stock Exchange","GBP"
"EDV","ENDEAVOUR MINING","Materials","Equity","56’901’861.38","0.35","56’901’861.38","1’282’151.00","44.38","United Kingdom","London Stock Exchange","GBP"
"ICSSAGD","BLK ICS GBP LIQ AGENCY DIS","Cash and/or Derivatives","Money Market","55’435’086.25","0.35","55’435’086.25","55’435’086.00","1.00","Ireland","-","GBP"
"CCH","COCA COLA HBC AG","Consumer Staples","Equity","54’455’980.80","0.34","54’455’980.80","1’272’336.00","42.80","United Kingdom","London Stock Exchange","GBP"
"ITRK","INTERTEK GROUP PLC","Industrials","Equity","53’586’458.10","0.33","53’586’458.10","972’531.00","55.10","United Kingdom","London Stock Exchange","GBP"
"ADM","ADMIRAL GROUP PLC","Financials","Equity","52’932’767.84","0.33","52’932’767.84","1’571’638.00","33.68","United Kingdom","London Stock Exchange","GBP"
"SVT","SEVERN TRENT PLC","Utilities","Equity","52’869’573.12","0.33","52’869’573.12","1’685’892.00","31.36","United Kingdom","London Stock Exchange","GBP"
"SGE","THE SAGE GROUP PLC","Information Technology","Equity","51’668’074.32","0.32","51’668’074.32","5’898’182.00","8.76","United Kingdom","London Stock Exchange","GBP"
"SMIN","SMITHS GROUP PLC","Industrials","Equity","49’638’294.56","0.31","49’638’294.56","1’983’152.00","25.03","United Kingdom","London Stock Exchange","GBP"
"PCT","POLAR CAPITAL TECHNOLOGY TRUST PLC","Financials","Equity","48’224’003.13","0.30","48’224’003.13","6’884’226.00","7.00","United Kingdom","-","GBP"
