Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","57’237’268.72","4.08","57’237’268.72","6’468’725.00","8.85","Brazil","XBSP","BRL"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","49’752’879.78","3.55","49’752’879.78","3’009’690.00","16.53","Brazil","XBSP","BRL"
"2603","EVERGREEN MARINE CORP (TAIWAN) LTD","Industrials","Equity","47’226’568.45","3.37","47’226’568.45","6’792’000.00","6.95","Taiwan","Taiwan Stock Exchange","TWD"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","42’042’049.71","3.00","42’042’049.71","37’561’000.00","1.12","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","34’546’013.91","2.46","34’546’013.91","3’141’188.00","11.00","Mexico","Bolsa Mexicana De Valores","MXN"
"PKN","ORLEN SA","Energy","Equity","33’168’270.87","2.36","33’168’270.87","845’740.00","39.22","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","31’993’331.42","2.28","31’993’331.42","36’595’000.00","0.87","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3034","NOVATEK MICROELECTRONICS CORP","Information Technology","Equity","31’399’653.92","2.24","31’399’653.92","2’037’000.00","15.41","Taiwan","Taiwan Stock Exchange","TWD"
"3988","BANK OF CHINA LTD H","Financials","Equity","31’077’290.45","2.21","31’077’290.45","46’558’000.00","0.67","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","Financials","Equity","30’796’723.73","2.19","30’796’723.73","12’029’028.00","2.56","Brazil","XBSP","BRL"
"CMIG4","CIA ENERGETICA DE MINAS GERAIS PRE","Utilities","Equity","29’297’523.74","2.09","29’297’523.74","13’126’309.00","2.23","Brazil","XBSP","BRL"
"1919","COSCO SHIPPING HOLDINGS LTD H","Industrials","Equity","26’621’945.69","1.90","26’621’945.69","13’723’000.00","1.94","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1088","CHINA SHENHUA ENERGY LTD H","Energy","Equity","24’756’887.14","1.76","24’756’887.14","4’449’000.00","5.56","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"COALINDIA","COAL INDIA LTD","Energy","Equity","24’267’857.27","1.73","24’267’857.27","5’087’918.00","4.77","India","National Stock Exchange Of India","INR"
"2609","YANG MING MARINE TRANSPORT CORP","Industrials","Equity","24’011’207.77","1.71","24’011’207.77","14’269’000.00","1.68","Taiwan","Taiwan Stock Exchange","TWD"
"PEO","BANK PEKAO SA","Financials","Equity","23’141’030.82","1.65","23’141’030.82","355’226.00","65.14","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"ECOPETROL","ECOPETROL SA","Energy","Equity","22’984’373.10","1.64","22’984’373.10","33’067’017.00","0.70","Colombia","Bolsa De Valores De Colombia","COP"
"BBRI","BANK RAKYAT INDONESIA (PERSERO)","Financials","Equity","21’769’605.54","1.55","21’769’605.54","126’299’400.00","0.17","Indonesia","Indonesia Stock Exchange","IDR"
"1308","SITC INTERNATIONAL HOLDINGS LTD","Industrials","Equity","21’081’925.91","1.50","21’081’925.91","4’813’000.00","4.38","Hong Kong","Hong Kong Exchanges And Clearing Ltd","HKD"
